player_name,policy_version,won,tactic,recommendations,aligned,adherence_rate_pct
Sefirot,28,true,diplomacy_pressure,167,0,0.0
Sefirot,28,true,economy_cadence,9,3,33.33
Sefirot,28,true,frontier_conversion,83,75,90.36
Sefirot,28,true,naval_control,153,26,16.99
Sefirot,28,true,opening_tempo,8,6,75.0
Sefirot,28,true,strike_targeting,10,0,0.0
Sefirot,28,true,transport_banking,46,20,43.48
daveey,22,true,diplomacy_pressure,2940,81,2.76
daveey,22,true,economy_cadence,1591,419,26.34
daveey,22,true,finish_pressure,22,10,45.45
daveey,22,true,frontier_conversion,1168,862,73.8
daveey,22,true,naval_control,2859,585,20.46
daveey,22,true,opening_tempo,198,141,71.21
daveey,22,true,strike_targeting,424,0,0.0
daveey,22,true,transport_banking,772,222,28.76
daveey,24,true,diplomacy_pressure,615,16,2.6
daveey,24,true,economy_cadence,301,102,33.89
daveey,24,true,finish_pressure,7,7,100.0
daveey,24,true,frontier_conversion,186,136,73.12
daveey,24,true,naval_control,614,124,20.2
daveey,24,true,opening_tempo,39,28,71.79
daveey,24,true,strike_targeting,78,0,0.0
daveey,24,true,transport_banking,235,56,23.83
odin free,89,true,diplomacy_pressure,906,101,11.15
odin free,89,true,economy_cadence,364,65,17.86
odin free,89,true,finish_pressure,4,4,100.0
odin free,89,true,frontier_conversion,649,244,37.6
odin free,89,true,naval_control,1289,408,31.65
odin free,89,true,opening_tempo,126,99,78.57
odin free,89,true,strike_targeting,353,10,2.83
odin free,89,true,transport_banking,787,336,42.69
Auri,42,false,diplomacy_pressure,7422,501,6.75
Auri,42,false,economy_cadence,3132,1169,37.32
Auri,42,false,finish_pressure,37,32,86.49
Auri,42,false,frontier_conversion,1573,805,51.18
Auri,42,false,naval_control,8514,2217,26.04
Auri,42,false,opening_tempo,921,649,70.47
Auri,42,false,strike_targeting,908,55,6.06
Auri,42,false,transport_banking,3849,1302,33.83
Calc,27,false,diplomacy_pressure,2966,312,10.52
Calc,27,false,economy_cadence,876,703,80.25
Calc,27,false,finish_pressure,1,1,100.0
Calc,27,false,frontier_conversion,1481,213,14.38
Calc,27,false,naval_control,5323,661,12.42
Calc,27,false,opening_tempo,862,324,37.59
Calc,27,false,strike_targeting,784,0,0.0
Calc,27,false,transport_banking,3938,488,12.39
James Boggs,1,false,diplomacy_pressure,1892,163,8.62
James Boggs,1,false,economy_cadence,368,131,35.6
James Boggs,1,false,finish_pressure,39,22,56.41
James Boggs,1,false,frontier_conversion,180,124,68.89
James Boggs,1,false,naval_control,2396,443,18.49
James Boggs,1,false,opening_tempo,1406,452,32.15
James Boggs,1,false,strike_targeting,7,0,0.0
James Boggs,1,false,transport_banking,1871,352,18.81
K1Z Hrafn,5,false,diplomacy_pressure,5266,731,13.88
K1Z Hrafn,5,false,economy_cadence,1777,321,18.06
K1Z Hrafn,5,false,finish_pressure,278,157,56.47
K1Z Hrafn,5,false,frontier_conversion,1680,451,26.85
K1Z Hrafn,5,false,naval_control,8791,898,10.21
K1Z Hrafn,5,false,opening_tempo,537,441,82.12
K1Z Hrafn,5,false,transport_banking,6532,434,6.64
K1Z juryoku-koku,3,false,diplomacy_pressure,5745,1166,20.3
K1Z juryoku-koku,3,false,economy_cadence,1875,476,25.39
K1Z juryoku-koku,3,false,frontier_conversion,2672,251,9.39
K1Z juryoku-koku,3,false,naval_control,13606,2689,19.76
K1Z juryoku-koku,3,false,opening_tempo,1111,676,60.85
K1Z juryoku-koku,3,false,strike_targeting,627,80,12.76
K1Z juryoku-koku,3,false,transport_banking,6758,1455,21.53
K1Z katanasan,39,false,diplomacy_pressure,4582,1028,22.44
K1Z katanasan,39,false,economy_cadence,2122,471,22.2
K1Z katanasan,39,false,frontier_conversion,2117,131,6.19
K1Z katanasan,39,false,naval_control,13280,2449,18.44
K1Z katanasan,39,false,opening_tempo,1428,818,57.28
K1Z katanasan,39,false,strike_targeting,667,87,13.04
K1Z katanasan,39,false,transport_banking,7312,1506,20.6
RelhAlpha,3,false,diplomacy_pressure,12319,430,3.49
RelhAlpha,3,false,economy_cadence,7840,1018,12.98
RelhAlpha,3,false,finish_pressure,5,5,100.0
RelhAlpha,3,false,frontier_conversion,2679,1996,74.51
RelhAlpha,3,false,naval_control,11509,2252,19.57
RelhAlpha,3,false,opening_tempo,863,636,73.7
RelhAlpha,3,false,strike_targeting,691,1,0.14
RelhAlpha,3,false,transport_banking,5596,1976,35.31
Richard Higgins,7,false,diplomacy_pressure,10895,372,3.41
Richard Higgins,7,false,economy_cadence,6608,730,11.05
Richard Higgins,7,false,finish_pressure,4,4,100.0
Richard Higgins,7,false,frontier_conversion,2932,2357,80.39
Richard Higgins,7,false,naval_control,10176,1889,18.56
Richard Higgins,7,false,opening_tempo,699,395,56.51
Richard Higgins,7,false,strike_targeting,699,9,1.29
Richard Higgins,7,false,transport_banking,4991,1691,33.88
Ron @ SWGY,1,false,diplomacy_pressure,4929,1069,21.69
Ron @ SWGY,1,false,economy_cadence,1630,1054,64.66
Ron @ SWGY,1,false,frontier_conversion,1041,645,61.96
Ron @ SWGY,1,false,naval_control,8662,3724,42.99
Ron @ SWGY,1,false,opening_tempo,1618,752,46.48
Ron @ SWGY,1,false,strike_targeting,203,0,0.0
Ron @ SWGY,1,false,transport_banking,4904,1919,39.13
Sefirot,25,false,diplomacy_pressure,350,15,4.29
Sefirot,25,false,economy_cadence,111,45,40.54
Sefirot,25,false,frontier_conversion,65,49,75.38
Sefirot,25,false,naval_control,354,82,23.16
Sefirot,25,false,opening_tempo,78,48,61.54
Sefirot,25,false,strike_targeting,10,0,0.0
Sefirot,25,false,transport_banking,82,35,42.68
Sefirot,26,false,diplomacy_pressure,1339,38,2.84
Sefirot,26,false,economy_cadence,570,307,53.86
Sefirot,26,false,finish_pressure,1,1,100.0
Sefirot,26,false,frontier_conversion,102,79,77.45
Sefirot,26,false,naval_control,1386,443,31.96
Sefirot,26,false,opening_tempo,214,133,62.15
Sefirot,26,false,transport_banking,616,239,38.8
Sefirot,27,false,diplomacy_pressure,4279,94,2.2
Sefirot,27,false,economy_cadence,1707,915,53.6
Sefirot,27,false,finish_pressure,2,2,100.0
Sefirot,27,false,frontier_conversion,453,400,88.3
Sefirot,27,false,naval_control,4415,1206,27.32
Sefirot,27,false,opening_tempo,549,344,62.66
Sefirot,27,false,strike_targeting,44,0,0.0
Sefirot,27,false,transport_banking,2059,672,32.64
Sefirot,28,false,diplomacy_pressure,3350,83,2.48
Sefirot,28,false,economy_cadence,1334,768,57.57
Sefirot,28,false,frontier_conversion,355,304,85.63
Sefirot,28,false,naval_control,3518,801,22.77
Sefirot,28,false,opening_tempo,476,224,47.06
Sefirot,28,false,strike_targeting,55,0,0.0
Sefirot,28,false,transport_banking,1709,344,20.13
daveey,22,false,diplomacy_pressure,7811,360,4.61
daveey,22,false,economy_cadence,3478,1098,31.57
daveey,22,false,finish_pressure,59,36,61.02
daveey,22,false,frontier_conversion,1533,1011,65.95
daveey,22,false,naval_control,7562,1909,25.24
daveey,22,false,opening_tempo,787,432,54.89
daveey,22,false,strike_targeting,402,0,0.0
daveey,22,false,transport_banking,2516,755,30.01
daveey,24,false,diplomacy_pressure,1599,33,2.06
daveey,24,false,economy_cadence,805,294,36.52
daveey,24,false,finish_pressure,6,1,16.67
daveey,24,false,frontier_conversion,306,225,73.53
daveey,24,false,naval_control,1514,490,32.36
daveey,24,false,opening_tempo,55,40,72.73
daveey,24,false,strike_targeting,127,0,0.0
daveey,24,false,transport_banking,386,123,31.87
docxology,1,false,diplomacy_pressure,1493,0,0.0
docxology,1,false,economy_cadence,1303,0,0.0
docxology,1,false,frontier_conversion,7,7,100.0
docxology,1,false,naval_control,554,0,0.0
docxology,1,false,opening_tempo,1402,392,27.96
docxology,1,false,transport_banking,412,0,0.0
odin free,89,false,diplomacy_pressure,11876,1357,11.43
odin free,89,false,economy_cadence,2415,765,31.68
odin free,89,false,finish_pressure,4,3,75.0
odin free,89,false,frontier_conversion,1413,498,35.24
odin free,89,false,naval_control,15721,3962,25.2
odin free,89,false,opening_tempo,1624,1211,74.57
odin free,89,false,strike_targeting,1984,117,5.9
odin free,89,false,transport_banking,10383,2588,24.93
